system,split,p-pos,r-pos,f-pos,p-neg,r-neg,f-neg,p-neu,r-neu,f-neu,p-macro,r-macro,f-macro
baseline,train,0.999001996007984,0.995736819667472,0.997366735463668,0.9972797656413476,0.9991614255765199,0.9982197088700387,0.994556516170349,0.9990350595046639,0.996790757381258,0.9969460926065602,0.997977768249552,0.9974590672383217
baseline,dev,0.6371830985915493,0.6051364365971108,0.6207464324917673,0.6125,0.5975609756097561,0.6049382716049384,0.41589403973509936,0.4976228209191759,0.4531024531024531,0.5551923794422162,0.5667734110420143,0.5595957190663863
baseline,test,0.6185707783340919,0.5992063492063492,0.6087346024636058,0.5973244147157191,0.5680661577608143,0.5823280078252364,0.42783505154639173,0.5048661800486618,0.4631696428571428,0.5479100815320675,0.5573795623386084,0.5992063492063492
improved,train,0.9993670886075949,0.9945830183925422,0.996969314307362,0.9961089494163424,0.9990708046831444,0.9975876786045649,0.9936854190585533,1.0,0.996832709473078,0.9963871523608302,0.9978846076918955,0.9971299007950017
improved,dev,0.5609137055837563,0.19051724137931034,0.2844272844272844,0.5498281786941581,0.6680584551148225,0.6032045240339302,0.08323959505061868,0.3274336283185841,0.13273542600896862,0.39799382644284437,0.39533644160423903,0.3401224114900611
improved,test,0.7860719162494311,0.5862186014935505,0.6715924557651176,0.5431438127090301,0.684654300168634,0.6057441253263708,0.3525773195876289,0.6452830188679245,0.45600000000000007,0.5605976828486967,0.6387186401767031,0.5862186014935505
